text,transliterated,translated_text
releasinte aan thanne pokum ennu urappullavar adi like,രേലേഅസിന്തേ ആന് ഥന്നേ പോകുമ് ഏന്നു ഉരപ്പുല്ലവര് അദി ലികേ,
rape കൊട്ടേഷൻ കോവാലന്റ് പടങ്ങൾ കാണാത്തവർ like,രപേ കൊട്ടേഷൻ കോവാലന്റ് പടങ്ങൾ കാണാത്തവർ ലികേ,
4k dislike waiting 4 kunjali,൪ക് ദിസ്ലികേ വൈതിന്ഗ് ൪ കുന്ജലി,
sukshich vekathe avasanam kalanju poyapol pattupaddy nadakuvaa ente pone mammookka aa mukuthi onne edduthe koduke,സുക്ശിച് വേകഥേ അവസനമ് കലന്ജു പോയപോല് പത്തുപദ്ദ്യ് നദകുവാ ഏന്തേ പോനേ മമ്മൂക്ക ആ മുകുഥി ഓന്നേ ഏദ്ദുഥേ കോദുകേ,
iyyade aayitt adukalayude padipeeru ichiri kooduthalanu,ഇയ്യദേ ആയിത്ത് അദുകലയുദേ പദിപീരു ഇചിരി കൂദുഥലനു,
kidilam cinema ethinte second part aragiyirunegil,കിദിലമ് ചിനേമ ഏഥിന്തേ സേചോന്ദ് പര്ത് അരഗിയിരുനേഗില്,
0 37 eee bgm kittam valla vayiyum undo,൦ ൩൭ ഈഏ ബ്ഗ്മ് കിത്തമ് വല്ല വയിയുമ് ഉന്ദോ,
muttamariyans mammunni myra raja team omkv,മുത്തമരിയന്സ് മമ്മുന്നി മ്യ്ര രജ തേഅമ് ഓമ്ക്വ്,
once a king,ഓന്ചേ അ കിന്ഗ്,
my review കുമ്പളങ്ങി nights എന്ന കോളനി പടത്തിന് ശേഷം വീണ്ടും ഒരു കോളനി പടം vijay fan ആയ state സിലബസ് കോളനി പയ്യൻ ഒരു standard ഉള്ള വീട്ടിലെ കൊച്ചിനെ line അടിക്കുന്നു ബോധം ഇല്ലാത്ത കൊച്ച് ആ കോളനി ക്ക് set ആവുന്നു same കുമ്പളങ്ങി story ആളുകൾ മാത്രം വ്യത്യാസം കൊച്ചിന്റെ അച്ഛനും അമ്മയും പറഞ്ഞിട്ടും കൊച്ച് കേൾക്കുന്നില്ല കോളിനി ചെറുക്കനെ ഇഷ്ടപെടുന്നു കഥ അവിടെ തീരുന്നു അത്യാവശ്യം കണ്ടിരിക്കാൻ പറ്റാത്ത first half and ത്രില്ല് അടിപ്പിക്കാൻ സാധിക്കാത്ത second half ഉം ഒഴിച്ച് നിർത്തിയാൽ ticket എടുത്ത് കാശ് കളയാൻ പറ്റുന്ന അടിപൊളി കോളനി പടമാണ് തണ്ണിമത്തൻ ദിനങ്ങൾ my rating 0 00001 100 0 കൊടുക്കാത്തത് vijay അണ്ണൻ reference ഉള്ളത് കൊണ്ടാണ് ഒരു പണിയും ഇല്ലാത്ത കോളനി boys ന് പടം ഇഷ്ടമാവും എന്ന് തോന്നുന്നു അടുത്തിടെ മലയാള സിനിമയിൽ ഉണ്ടായ കോളനി വത്ക്കരണം ഇവിടെയും കാണാൻ സാധിക്കും,മ്യ് രേവിഏവ് കുമ്പളങ്ങി നിഘ്ത്സ് എന്ന കോളനി പടത്തിന് ശേഷം വീണ്ടും ഒരു കോളനി പടം വിജയ് fന് ആയ സ്തതേ സിലബസ് കോളനി പയ്യൻ ഒരു സ്തന്ദര്ദ് ഉള്ള വീട്ടിലെ കൊച്ചിനെ ലിനേ അടിക്കുന്നു ബോധം ഇല്ലാത്ത കൊച്ച് ആ കോളനി ക്ക് സേത് ആവുന്നു സമേ കുമ്പളങ്ങി സ്തോര്യ് ആളുകൾ മാത്രം വ്യത്യാസം കൊച്ചിന്റെ അച്ഛനും അമ്മയും പറഞ്ഞിട്ടും കൊച്ച് കേൾക്കുന്നില്ല കോളിനി ചെറുക്കനെ ഇഷ്ടപെടുന്നു കഥ അവിടെ തീരുന്നു അത്യാവശ്യം കണ്ടിരിക്കാൻ പറ്റാത്ത fിര്സ്ത് ഹല്f് അന്ദ് ത്രില്ല് അടിപ്പിക്കാൻ സാധിക്കാത്ത സേചോന്ദ് ഹല്f് ഉം ഒഴിച്ച് നിർത്തിയാൽ തിച്കേത് എടുത്ത് കാശ് കളയാൻ പറ്റുന്ന അടിപൊളി കോളനി പടമാണ് തണ്ണിമത്തൻ ദിനങ്ങൾ മ്യ് രതിന്ഗ് ൦ ൦൦൦൦൧ ൧൦൦ ൦ കൊടുക്കാത്തത് വിജയ് അണ്ണൻ രേfേരേന്ചേ ഉള്ളത് കൊണ്ടാണ് ഒരു പണിയും ഇല്ലാത്ത കോളനി ബോയ്സ് ന് പടം ഇഷ്ടമാവും എന്ന് തോന്നുന്നു അടുത്തിടെ മലയാള സിനിമയിൽ ഉണ്ടായ കോളനി വത്ക്കരണം ഇവിടെയും കാണാൻ സാധിക്കും,
song feel aanenkil maathram like adikk,സോന്ഗ് fീല് ആനേന്കില് മാഥ്രമ് ലികേ അദിക്ക്,
സിദ്ദിഖ് താൻ എന്താണ് എപ്പോഴും ലാലേട്ടനെ വച്ച് ചെയ്യുമ്പോൾ ഇങ്ങനെ ട്രെയിലർ,സിദ്ദിഖ് താൻ എന്താണ് എപ്പോഴും ലാലേട്ടനെ വച്ച് ചെയ്യുമ്പോൾ ഇങ്ങനെ ട്രെയിലർ,
soubin fans like adi makkale,സോഉബിന് fന്സ് ലികേ അദി മക്കലേ,
ഒരു മണി നാദം മിന്നിച്ചേക്കണേ,ഒരു മണി നാദം മിന്നിച്ചേക്കണേ,
oru yugam bharicha chakravarthiyude randam udayam,ഓരു യുഗമ് ഭരിച ചക്രവര്ഥിയുദേ രന്ദമ് ഉദയമ്,
aa pazhaya lalettane thirichu kittiyennu thonniyavar like,ആ പഴയ ലലേത്തനേ ഥിരിചു കിത്തിയേന്നു ഥോന്നിയവര് ലികേ,
kochin haneefka valsalyam cinema eduthad pole onnil odukkanan prithvirajinte erpadengil aradagar panhikkidum,കോചിന് ഹനീf്ക വല്സല്യമ് ചിനേമ ഏദുഥദ് പോലേ ഓന്നില് ഓദുക്കനന് പ്രിഥ്വിരജിന്തേ ഏര്പദേന്ഗില് അരദഗര് പന്ഹിക്കിദുമ്,
for a new generation dictionary versatility has a new definition,fോര് അ നേവ് ഗേനേരതിഓന് ദിച്തിഓനര്യ് വേര്സതിലിത്യ് ഹസ് അ നേവ് ദേfിനിതിഓന്,
keralathile motham talentum ernakulam aanallo oru kottayam kaarante roodhanamm,കേരലഥിലേ മോഥമ് തലേന്തുമ് ഏര്നകുലമ് ആനല്ലോ ഓരു കോത്തയമ് കാരന്തേ രൂധനമ്മ്,
ഗുഹൻസ് ഫാൻസ് ഡിസ് ലൈക്ക് പണിയും തുടങ്ങി,ഗുഹൻസ് ഫാൻസ് ഡിസ് ലൈക്ക് പണിയും തുടങ്ങി,
nalla trailer ini ennathina padam kanunne,നല്ല ത്രൈലേര് ഇനി ഏന്നഥിന പദമ് കനുന്നേ,
mammokkade pillerk vendiyulla like button,മമ്മോക്കദേ പില്ലേര്ക് വേന്ദിയുല്ല ലികേ ബുത്തോന്,
shammi hero aadaaa hero fahadikka pwolich,ശമ്മി ഹേരോ ആദാഅ ഹേരോ fഹദിക്ക പ്വോലിച്,
ambo pwoli adipoli movie aayirikkum ennu pratheekshikkunnu,അമ്ബോ പ്വോലി അദിപോലി മോവിഏ ആയിരിക്കുമ് ഏന്നു പ്രഥീക്ശിക്കുന്നു,
ജീവിതത്തിലെ സങ്കട ഘട്ടങ്ങളെ തന്റേടത്തോടെ തരണം ചെയ്ത മഞ്ജു ചേച്ചി കരുത്തുറ്റ കഥാപാത്രങ്ങൾ തന്മയത്വത്തോടെ അവതരിപ്പിക്കാൻ കഴിവുള്ള ഞങ്ങളുടെ സ്വന്തം മഞ്ജു ചേച്ചി സിനിമ സൂപ്പർ ഹിറ്റ് ആവട്ടെ,ജീവിതത്തിലെ സങ്കട ഘട്ടങ്ങളെ തന്റേടത്തോടെ തരണം ചെയ്ത മഞ്ജു ചേച്ചി കരുത്തുറ്റ കഥാപാത്രങ്ങൾ തന്മയത്വത്തോടെ അവതരിപ്പിക്കാൻ കഴിവുള്ള ഞങ്ങളുടെ സ്വന്തം മഞ്ജു ചേച്ചി സിനിമ സൂപ്പർ ഹിറ്റ് ആവട്ടെ,
ഇത് കണ്ടിട്ട് നല്ല തൊലിഞ്ഞ കോമഡി ആയി തോന്നിയത് എനിക്ക് മാത്രമാണോ,ഇത് കണ്ടിട്ട് നല്ല തൊലിഞ്ഞ കോമഡി ആയി തോന്നിയത് എനിക്ക് മാത്രമാണോ,
ലാലേട്ടനോട് ഉള്ള ബഹുമാനം പോയി മരക്കാർ എന്നത് മലയാളികൾ അല്ല ശെരിക്കും ഈജിപ്ത് കാരായിരുന്നു അതിൽ ഒരാളെ പറങ്കികൾ പിടിച്ചോണ്ട് പോയി അവരുടെ നാവികസേനയിൽ അടിമയാക്കി ജോലിചെയ്യിച്ചിട്ടു മുണ്ട് ഇത് വെറും സങ്കല്പം എന്നും ഒരു വാദമുണ്ട്,ലാലേട്ടനോട് ഉള്ള ബഹുമാനം പോയി മരക്കാർ എന്നത് മലയാളികൾ അല്ല ശെരിക്കും ഈജിപ്ത് കാരായിരുന്നു അതിൽ ഒരാളെ പറങ്കികൾ പിടിച്ചോണ്ട് പോയി അവരുടെ നാവികസേനയിൽ അടിമയാക്കി ജോലിചെയ്യിച്ചിട്ടു മുണ്ട് ഇത് വെറും സങ്കല്പം എന്നും ഒരു വാദമുണ്ട്,
അവിടെയും ഇവിടെയും തിരഞ്ഞോണ്ട് നില്കാതെ വെച്ച സ്ഥലത്ത് നോക്ക് പെണ്ണും പിള്ളേ,അവിടെയും ഇവിടെയും തിരഞ്ഞോണ്ട് നില്കാതെ വെച്ച സ്ഥലത്ത് നോക്ക് പെണ്ണും പിള്ളേ,
njan cinema kandu pwoli filing anu,ന്ജന് ചിനേമ കന്ദു പ്വോലി fിലിന്ഗ് അനു,
evade kaanikuna avesham padam arangumbo theatril koodi onnu kaanicha upakaaram aerunu plzz,ഏവദേ കാനികുന അവേശമ് പദമ് അരന്ഗുമ്ബോ ഥേഅത്രില് കൂദി ഓന്നു കാനിച ഉപകാരമ് അഏരുനു പ്ല്z്z്,
h e a v y y y y,ഹ് ഏ അ വ് യ് യ് യ് യ്,
laleetanu ikka fansite best of luck,ലലീതനു ഇക്ക fന്സിതേ ബേസ്ത് ഓf് ലുച്ക്,
1 57 ദിലീപേട്ടൻ പറഞ്ഞത് പോലെ അപ്പൊ നമുക്ക് ഈ ക്രിസ്മസ് അടിച്ചുപൊളിക്കാം,൧ ൫൭ ദിലീപേട്ടൻ പറഞ്ഞത് പോലെ അപ്പൊ നമുക്ക് ഈ ക്രിസ്മസ് അടിച്ചുപൊളിക്കാം,
trailer yethra pravashyam kandenn yenikkane ariyilla,ത്രൈലേര് യേഥ്ര പ്രവശ്യമ് കന്ദേന്ന് യേനിക്കനേ അരിയില്ല,
പൊറിഞ്ചു പൊരിക്കും എന്നുള്ളവർക്കു തൂങ്ങാനുള്ള നൂൽ ഇവിടെ ഉണ്ടേ,പൊറിഞ്ചു പൊരിക്കും എന്നുള്ളവർക്കു തൂങ്ങാനുള്ള നൂൽ ഇവിടെ ഉണ്ടേ,
മലയാളത്തിൽ കുറെ ആയി ഒരു ത്രില്ലെർ ഇറങ്ങിയിട്ട് ഇതൊരു അഡാർ ഐറ്റം ആയാൽ മതിയായിരുന്നു,മലയാളത്തിൽ കുറെ ആയി ഒരു ത്രില്ലെർ ഇറങ്ങിയിട്ട് ഇതൊരു അഡാർ ഐറ്റം ആയാൽ മതിയായിരുന്നു,
kaaneda പിള്ളേരെ 100k views 34k likes in 5 minutes 60k likes in 15 minutes,കാനേദ പിള്ളേരെ ൧൦൦ക് വിഏവ്സ് ൩൪ക് ലികേസ് ഇന് ൫ മിനുതേസ് ൬൦ക് ലികേസ് ഇന് ൧൫ മിനുതേസ്,
ഇങ്ങനെ കണ്ടിട്ട് ആവേശം മൂത്തിട്ടാണ് ഇന്ന് ഒരെണ്ണത്തിന് പോയത് അതുകൊണ്ട് ട്രയ്ലർ കണ്ട് എന്റെ പൊന്നോ ഇങ്ങനെ ആക്കൽ ഞാൻ അങ്ങ് നിർത്തി,ഇങ്ങനെ കണ്ടിട്ട് ആവേശം മൂത്തിട്ടാണ് ഇന്ന് ഒരെണ്ണത്തിന് പോയത് അതുകൊണ്ട് ട്രയ്ലർ കണ്ട് എന്റെ പൊന്നോ ഇങ്ങനെ ആക്കൽ ഞാൻ അങ്ങ് നിർത്തി,
എന്ത് കോപ്പിലെ song പാട്ടിന് ചേരാത്ത ഡാൻസും,എന്ത് കോപ്പിലെ സോന്ഗ് പാട്ടിന് ചേരാത്ത ഡാൻസും,
ithu vere level padam aayirikkum enthaayalum madhura raja pole valiya oru vijayam aakatte,ഇഥു വേരേ ലേവേല് പദമ് ആയിരിക്കുമ് ഏന്ഥായലുമ് മധുര രജ പോലേ വലിയ ഓരു വിജയമ് ആകത്തേ,
mammookka fans adi like koodathe ende mashup koodi onnu kandu nokku,മമ്മൂക്ക fന്സ് അദി ലികേ കൂദഥേ ഏന്ദേ മശുപ് കൂദി ഓന്നു കന്ദു നോക്കു,
ഏട്ടൻ fanz കോട്ടയം അടിക്ക് like,ഏട്ടൻ fന്z് കോട്ടയം അടിക്ക് ലികേ,
eth 2 um kalpichulla padam aanenn urapp aayi,ഏഥ് ൨ ഉമ് കല്പിചുല്ല പദമ് ആനേന്ന് ഉരപ്പ് ആയി,
വീണ്ടും ഗോപി സുന്ദർ ബിജിഎം മാജിക്,വീണ്ടും ഗോപി സുന്ദർ ബിജിഎം മാജിക്,
നവംബർ 2019 എപ്പോഴും ഒരു നൊസ്റ്റാൾജിയ feel എത്ര പേര് ഇപ്പോഴും ആസ്വാദിക്കുന്നു,നവംബർ ൨൦൧൯ എപ്പോഴും ഒരു നൊസ്റ്റാൾജിയ fീല് എത്ര പേര് ഇപ്പോഴും ആസ്വാദിക്കുന്നു,
haters dislike paavo ithrakkum pediyaano oru padavam verunne kaishttam haters,ഹതേര്സ് ദിസ്ലികേ പാവോ ഇഥ്രക്കുമ് പേദിയാനോ ഓരു പദവമ് വേരുന്നേ കൈശ്ത്തമ് ഹതേര്സ്,
ആരോ ഒരാൾ അല്ല എന്റെ ഏട്ടൻ my big brother,ആരോ ഒരാൾ അല്ല എന്റെ ഏട്ടൻ മ്യ് ബിഗ് ബ്രോഥേര്,
പടം കണ്ടു കഴിഞ്ഞപ്പോൾ ഒന്നുകൂടി trailer കാണണം എന്ന് തോന്നി,പടം കണ്ടു കഴിഞ്ഞപ്പോൾ ഒന്നുകൂടി ത്രൈലേര് കാണണം എന്ന് തോന്നി,
face of indian cinima kolamass kolakolli waiting november 21 mamangam day,fചേ ഓf് ഇന്ദിഅന് ചിനിമ കോലമസ്സ് കോലകോല്ലി വൈതിന്ഗ് നോവേമ്ബേര് ൨൧ മമന്ഗമ് ദയ്,
ഇതിനെയൊക്കെ ട്രോൾ ചെയ്ത വാണങ്ങളുടെ അണ്ണാക്കിൽ ഗജേന്ദ്രഗുണ്ട് വെച്ച് പൊട്ടിക്കണം hats off mammookkaa,ഇതിനെയൊക്കെ ട്രോൾ ചെയ്ത വാണങ്ങളുടെ അണ്ണാക്കിൽ ഗജേന്ദ്രഗുണ്ട് വെച്ച് പൊട്ടിക്കണം ഹത്സ് ഓf്f് മമ്മൂക്കാ,
7 മണിക്ക് shylock teaser വരുന്നു എന്ന് പറഞ്ഞപ്പോൾ ഇത്രയും പ്രതീക്ഷിച്ചില്ല ufff mammokka uyr ikka fan,൭ മണിക്ക് ശ്യ്ലോച്ക് തേഅസേര് വരുന്നു എന്ന് പറഞ്ഞപ്പോൾ ഇത്രയും പ്രതീക്ഷിച്ചില്ല ഉf്f്f് മമ്മോക്ക ഉയ്ര് ഇക്ക fന്,
njan aanda njaan aanda njan royal mech aanda,ന്ജന് ആന്ദ ന്ജാന് ആന്ദ ന്ജന് രോയല് മേച് ആന്ദ,
തീപൊരി ഐറ്റം നിനക്കിനി മലയാളം ഇൻഡസ്ട്രിയൽ കിടന്ന് പൊളക്കാൻ പറ്റുമെന്നു തോന്നുന്നുണ്ടോ ഭായ്,തീപൊരി ഐറ്റം നിനക്കിനി മലയാളം ഇൻഡസ്ട്രിയൽ കിടന്ന് പൊളക്കാൻ പറ്റുമെന്നു തോന്നുന്നുണ്ടോ ഭായ്,
പിന്നെ ആ മൂക്കിൽ കിടക്കുന്നത് എന്നതാ song വെരുപ്പീര്,പിന്നെ ആ മൂക്കിൽ കിടക്കുന്നത് എന്നതാ സോന്ഗ് വെരുപ്പീര്,
pani ariyavunaknd thanneya pidichu nikune oru family feel good movie koodi vrununde happy birthday mammooka,പനി അരിയവുനക്ന്ദ് ഥന്നേയ പിദിചു നികുനേ ഓരു fമില്യ് fീല് ഗൂദ് മോവിഏ കൂദി വ്രുനുന്ദേ ഹപ്പ്യ് ബിര്ഥ്ദയ് മമ്മൂക,
joju vere level aayi vanna varav from thrissur,ജോജു വേരേ ലേവേല് ആയി വന്ന വരവ് f്രോമ് ഥ്രിസ്സുര്,
trailer kandappo thannea cinema kannan thonni katta waiting,ത്രൈലേര് കന്ദപ്പോ ഥന്നേഅ ചിനേമ കന്നന് ഥോന്നി കത്ത വൈതിന്ഗ്,
mamangam mohanlalum marakkar mammookkayum ayirunnenkil ith chanthuvine ormippikkunnu,മമന്ഗമ് മോഹന്ലലുമ് മരക്കര് മമ്മൂക്കയുമ് അയിരുന്നേന്കില് ഇഥ് ചന്ഥുവിനേ ഓര്മിപ്പിക്കുന്നു,
maargham kali nalla bornd tttto baaaakkki kollllaaam,മാര്ഘമ് കലി നല്ല ബോര്ന്ദ് ത്ത്ത്തോ ബാആക്ക്കി കോല്ല്ല്ലാഅമ്,
eeshwaaraa trailer pole story koode nice avnee,ഈശ്വാരാ ത്രൈലേര് പോലേ സ്തോര്യ് കൂദേ നിചേ അവ്നീ,
unni mukundan kantannu thonnunnu last time pulli odipoyalllo,ഉന്നി മുകുന്ദന് കന്തന്നു ഥോന്നുന്നു ലസ്ത് തിമേ പുല്ലി ഓദിപോയല്ല്ലോ,
ബിഗ് ബ്രദർ കണ്ട് സങ്കടം വന്ന ആരെങ്കിലും ഉണ്ടോ,ബിഗ് ബ്രദർ കണ്ട് സങ്കടം വന്ന ആരെങ്കിലും ഉണ്ടോ,
എന്താണ് അണ്ണൻ ഉദേശിക്കു ന്നത് കണ്ടറിയാം,എന്താണ് അണ്ണൻ ഉദേശിക്കു ന്നത് കണ്ടറിയാം,
അപ്പോൾ ഈ ഓണം ഇങ്ങു എടുക്കുവാണ് ലാലേട്ടൻ,അപ്പോൾ ഈ ഓണം ഇങ്ങു എടുക്കുവാണ് ലാലേട്ടൻ,
ജയചന്ദ്രന് സ്റ്റോക്ക് ഉളളത് തിരിച്ചും മറിച്ചും ഇട്ട് ഒരുമാതിരി ഹാരിസ് ജയരാജിന് പഠിക്കുകയാണെന്ന് തോന്നുന്നു,ജയചന്ദ്രന് സ്റ്റോക്ക് ഉളളത് തിരിച്ചും മറിച്ചും ഇട്ട് ഒരുമാതിരി ഹാരിസ് ജയരാജിന് പഠിക്കുകയാണെന്ന് തോന്നുന്നു,
akka uyir ikka ma alle venda maarakam,അക്ക ഉയിര് ഇക്ക മ അല്ലേ വേന്ദ മാരകമ്,
adhikarappeduthunna gadikaarame ithu gadikarangal nilakkunna nimisham indian cinemayude mugamudhra,അധികരപ്പേദുഥുന്ന ഗദികാരമേ ഇഥു ഗദികരന്ഗല് നിലക്കുന്ന നിമിശമ് ഇന്ദിഅന് ചിനേമയുദേ മുഗമുധ്ര,
katta waiting shain fhad ikka soubin ikka basi machan powlikkum,കത്ത വൈതിന്ഗ് ശൈന് f്ഹദ് ഇക്ക സോഉബിന് ഇക്ക ബസി മചന് പോവ്ലിക്കുമ്,
song end ൽ ഉണ്ണിമുകുന്ദൻ മുങ്ങിയതു കണ്ടപ്പോൾ തലേക്കെട്ട്കാരന് മനസ്സിലായി മുക്കുത്തി എവിടെ ഉണ്ടെന്ന് അത് കണ്ട്പിടിക്കാൻ പുള്ളീം പോയി ഈ പാട്ടൊന്ന് നിർത്തിക്കണോല്ലോ,സോന്ഗ് ഏന്ദ് ൽ ഉണ്ണിമുകുന്ദൻ മുങ്ങിയതു കണ്ടപ്പോൾ തലേക്കെട്ട്കാരന് മനസ്സിലായി മുക്കുത്തി എവിടെ ഉണ്ടെന്ന് അത് കണ്ട്പിടിക്കാൻ പുള്ളീം പോയി ഈ പാട്ടൊന്ന് നിർത്തിക്കണോല്ലോ,
കാശ് ഇല്ലാത്തവൻ പ്രൊഡ്യൂസർ എന്ന സ്വയം പേര് നൽകി വെറുതെ പടം ചെയ്യാൻ ഇറങ്ങി ഒരു പാവം മനുഷ്യന്തേ 18 വർഷത്തെ സ്വപ്നം തട്ടിയെടുത്തു അവൻ ഒന്നും ഒരു കാലത്തും ഗുണം പിടിക്കില്ല ഇ പടം ഞാൻ തിയേറ്റർ പോയി കാണില്ല ഡൌൺലോഡ് ചെയ്തെ കാണു ഫ്രം ടോറന്റ്,കാശ് ഇല്ലാത്തവൻ പ്രൊഡ്യൂസർ എന്ന സ്വയം പേര് നൽകി വെറുതെ പടം ചെയ്യാൻ ഇറങ്ങി ഒരു പാവം മനുഷ്യന്തേ ൧൮ വർഷത്തെ സ്വപ്നം തട്ടിയെടുത്തു അവൻ ഒന്നും ഒരു കാലത്തും ഗുണം പിടിക്കില്ല ഇ പടം ഞാൻ തിയേറ്റർ പോയി കാണില്ല ഡൌൺലോഡ് ചെയ്തെ കാണു ഫ്രം ടോറന്റ്,
ഇങ്ങള് ആളെ പറ്റിക്കാണോ ഇതെന്നേലും റിലീസ് ആകുമോ,ഇങ്ങള് ആളെ പറ്റിക്കാണോ ഇതെന്നേലും റിലീസ് ആകുമോ,
listen endhankangalai from kannaikalaimane sung by sooraj santhosh,ലിസ്തേന് ഏന്ധന്കന്ഗലൈ f്രോമ് കന്നൈകലൈമനേ സുന്ഗ് ബ്യ് സൂരജ് സന്ഥോശ്,
ithrayum predisha koduthittu adutha odiyan akathirunna mathiyayirunnu,ഇഥ്രയുമ് പ്രേദിശ കോദുഥിത്തു അദുഥ ഓദിയന് അകഥിരുന്ന മഥിയയിരുന്നു,
എന്തോന്ന് വാസു അണ്ണാ ഇത് പെട്ടിയും എടുത്ത് വല്ലോ ആന്ധ്രയില്ലോ തമിഴ്നാട്ടില്ലോ പോ വെറുതേ ഇക്കയെ നാറ്റിക്കാൻ,എന്തോന്ന് വാസു അണ്ണാ ഇത് പെട്ടിയും എടുത്ത് വല്ലോ ആന്ധ്രയില്ലോ തമിഴ്നാട്ടില്ലോ പോ വെറുതേ ഇക്കയെ നാറ്റിക്കാൻ,
padam parama koothara,പദമ് പരമ കൂഥര,
ഈ പാട്ടിനും സീൻസിനും ഒരു കുഴപ്പവുമില്ല തോന്നിയത് എനിക്ക് മാത്രാണോ,ഈ പാട്ടിനും സീൻസിനും ഒരു കുഴപ്പവുമില്ല തോന്നിയത് എനിക്ക് മാത്രാണോ,
ഇസത് അല്ല ലാലേട്ടാ izzath അത് അറബി വേർഡ് ആണ് അത് പറയാനും കൊറച്ചു izzath venm,ഇസത് അല്ല ലാലേട്ടാ ഇz്zഥ് അത് അറബി വേർഡ് ആണ് അത് പറയാനും കൊറച്ചു ഇz്zഥ് വേന്മ്,
ethonnum mohanlalnu cherilla,ഏഥോന്നുമ് മോഹന്ലല്നു ചേരില്ല,
പാട്ടിനോടുള്ള ഇഷ്ടം കൊണ്ടല്ല കമൻറ് വായിക്കാൻ വരുന്നവരുടെ തിരക്ക് മൂലമാണ് ഈ സോങ്ങ് ഒരു മില്യൺ കടന്നത് എന്ന് സംഘാടക സമിതിയെ അറിയിച്ചുകൊള്ളുന്നു,പാട്ടിനോടുള്ള ഇഷ്ടം കൊണ്ടല്ല കമൻറ് വായിക്കാൻ വരുന്നവരുടെ തിരക്ക് മൂലമാണ് ഈ സോങ്ങ് ഒരു മില്യൺ കടന്നത് എന്ന് സംഘാടക സമിതിയെ അറിയിച്ചുകൊള്ളുന്നു,
1 03 ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പറ സാറേ,൧ ൦൩ ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പറ സാറേ,
super cinema really a thriller movie kanditt sahikyilla sangalpikyaan koodi vayya anganoru avastha kidilan movie,സുപേര് ചിനേമ രേഅല്ല്യ് അ ഥ്രില്ലേര് മോവിഏ കന്ദിത്ത് സഹിക്യില്ല സന്ഗല്പിക്യാന് കൂദി വയ്യ അന്ഗനോരു അവസ്ഥ കിദിലന് മോവിഏ,
ee onam ini arum nokkandaa ettan parayan paranju,ഈ ഓനമ് ഇനി അരുമ് നോക്കന്ദാ ഏത്തന് പരയന് പരന്ജു,
mammuka polikum mammukaye ishttamullavar like adii,മമ്മുക പോലികുമ് മമ്മുകയേ ഇശ്ത്തമുല്ലവര് ലികേ അദീ,
lalettan anum ennum uyri pleas like,ലലേത്തന് അനുമ് ഏന്നുമ് ഉയ്രി പ്ലേഅസ് ലികേ,
ഈ കഥ ഞാൻ പറഞ്ഞു തരട്ടെ,ഈ കഥ ഞാൻ പറഞ്ഞു തരട്ടെ,
janapriyanayakan again coming with variety role katta waiting,ജനപ്രിയനയകന് അഗൈന് ചോമിന്ഗ് വിഥ് വരിഏത്യ് രോലേ കത്ത വൈതിന്ഗ്,
thaliyvaaaa ikkaaa vara level pwolichu,ഥലിയ്വാആ ഇക്കാഅ വര ലേവേല് പ്വോലിചു,
ഏറ്റവും സങ്കടം തോന്നിയത് സൗബിന്റെ ഹൃദയം പൊട്ടിയുള്ള കരച്ചിലിലും തിയേറ്ററിൽ കേട്ട ആർത്തലച്ചുള്ള ചിരി ഒച്ചകൾ കേട്ടപ്പോഴാണ് മറ്റു സിനിമകളിൽ സൗബിൻ ചെയ്ത കഥാപാത്രങ്ങളുടെ ഓർമ്മകളുമായി ഈ സിനിമ കാണരുത്,ഏറ്റവും സങ്കടം തോന്നിയത് സൗബിന്റെ ഹൃദയം പൊട്ടിയുള്ള കരച്ചിലിലും തിയേറ്ററിൽ കേട്ട ആർത്തലച്ചുള്ള ചിരി ഒച്ചകൾ കേട്ടപ്പോഴാണ് മറ്റു സിനിമകളിൽ സൗബിൻ ചെയ്ത കഥാപാത്രങ്ങളുടെ ഓർമ്മകളുമായി ഈ സിനിമ കാണരുത്,
mammukka ishttam ith oru kola kolli item aayrkkum theercha,മമ്മുക്ക ഇശ്ത്തമ് ഇഥ് ഓരു കോല കോല്ലി ഇതേമ് ആയ്ര്ക്കുമ് ഥീര്ച,
eee trailer kanditt dislike adichavan mareyokke sammathikkanam,ഈഏ ത്രൈലേര് കന്ദിത്ത് ദിസ്ലികേ അദിചവന് മരേയോക്കേ സമ്മഥിക്കനമ്,
oru addar item koodi iyye padathill varan nde athe mikkavarum last avum arayya twist,ഓരു അദ്ദര് ഇതേമ് കൂദി ഇയ്യേ പദഥില്ല് വരന് ന്ദേ അഥേ മിക്കവരുമ് ലസ്ത് അവുമ് അരയ്യ ത്വിസ്ത്,
dislike adichavanmar enth kandittanavo ee trailer thanne aano aavo kandath,ദിസ്ലികേ അദിചവന്മര് ഏന്ഥ് കന്ദിത്തനവോ ഈ ത്രൈലേര് ഥന്നേ ആനോ ആവോ കന്ദഥ്,
evideyo miss aaya pole pazhaya lalettane thirichu kittiya pole thaadi vecha pinne payyan pwoli alle luv u lalettaa,ഏവിദേയോ മിസ്സ് ആയ പോലേ പഴയ ലലേത്തനേ ഥിരിചു കിത്തിയ പോലേ ഥാദി വേച പിന്നേ പയ്യന് പ്വോലി അല്ലേ ലുവ് ഉ ലലേത്താ,
